City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,colonia menno,-22.3667,-59.8167,37.28,27,15,3.38,PY,1711533926
84,qaqortoq,60.7167,-46.0333,-2.59,87,22,1.49,GL,1711528937
85,vorgashor,67.5833,63.95,-24.5,100,37,1.77,RU,1711502063
86,papatowai,-46.5619,169.4708,6.48,92,100,7.26,NZ,1711565691
87,santa cruz del sur,20.7147,-77.9956,29.57,52,0,5.82,CU,1711537752
88,klyuchi,52.2667,79.1667,3.9,85,100,3.43,RU,1711585613
89,yellowknife,62.456,-114.3525,-8.02,48,18,4.02,CA,1711545180
90,ust-nera,64.5667,143.2,-12.17,97,100,1.08,RU,1711569542
91,tangalle,6.024,80.7911,26.17,86,98,3.63,LK,1711499855
92,kegeyli shahar,42.7767,59.6078,9.05,65,100,7.1,UZ,1711504334
93,glubokoye,50.1456,82.3114,-0.62,87,100,1.82,KZ,1711498676
94,berdigestyakh,62.0989,126.6992,-20.06,91,100,2.33,RU,1711573687
95,ghat,24.9647,10.1728,30.19,8,89,8.29,LY,1711516540
96,iskateley,67.6803,53.1512,-14.43,95,29,3.13,RU,1711504637
97,udachny,66.4167,112.4,-33.28,99,38,1.93,RU,1711576742
98,greymouth,-42.4667,171.2,11.9,74,100,7.66,NZ,1711565195
99,port saint john's,-31.6229,29.5448,21.62,94,100,3.76,ZA,1711512590
100,georgetown,5.4112,100.3354,29.97,79,20,1.54,MY,1711581545
101,avarua,-21.2078,-159.775,27.03,94,20,1.03,CK,1711557907
102,salalah,17.0151,54.0924,27.05,54,20,8.75,OM,1711506122
103,touros,-5.1989,-35.4608,27.6,79,100,2.42,BR,1711527879
104,aykhal,66.0,111.5,-31.4,100,15,2.59,RU,1711576998
105,farafangana,-22.8167,47.8333,23.29,77,24,3.11,MG,1711508090
106,moyale,3.5167,39.0584,25.01,50,46,2.57,KE,1711509897
107,saint-pierre,-21.3393,55.4781,23.82,78,100,3.09,RE,1711506237
108,san sebastian de la gomera,28.0916,-17.1133,21.2,56,40,5.66,ES,1711523032
109,kamiiso,41.8167,140.65,0.65,71,1,1.44,JP,1711571228
110,kodinsk,58.6881,99.1844,-16.42,100,95,1.22,RU,1711580499
111,nadi,-17.8,177.4167,24.0,94,75,2.06,FJ,1711563339
112,mount pearl,47.5166,-52.7813,3.51,53,86,1.79,CA,1711531137
113,yanykurgan,43.915,67.2481,15.64,38,41,2.97,KZ,1711502473
114,tsiombe,-25.3,45.4833,23.12,81,25,7.42,MG,1711508684
115,broome,42.2506,-75.833,10.79,81,100,3.6,US,1711536813
116,phan thiet,10.9333,108.1,25.03,88,4,3.61,VN,1711579608
117,ribeira grande,38.5167,-28.7,15.22,63,75,14.4,PT,1711525605
118,whitehorse,60.7161,-135.0538,1.17,70,98,1.79,CA,1711550255
119,keflavik,64.0049,-22.5624,1.95,64,20,8.23,IS,1711523087
120,smithers,54.7804,-127.1743,5.01,70,100,1.37,CA,1711548688
121,nouadhibou,20.931,-17.0347,21.99,53,100,9.77,MR,1711523127
122,gilgit,35.9221,74.3087,12.73,78,100,0.88,PK,1711500965
123,ugoofaaru,5.6667,73.0,28.45,76,70,2.4,MV,1711501729
124,walvis bay,-22.9575,14.5053,16.16,72,13,6.48,,1711516092
125,codrington,-38.2667,141.9667,12.47,90,81,1.77,AU,1711572141
126,arica,-18.475,-70.3042,28.75,69,7,3.59,CL,1711536397
127,pisco,-13.7,-76.2167,25.03,73,0,5.14,PE,1711537759
128,kolonia,50.9333,6.95,9.98,82,20,3.09,DE,1711516707
129,kokpekty,48.75,82.4,-3.52,87,98,1.08,KZ,1711498701
130,miles city,46.4083,-105.8406,1.54,69,0,0.0,US,1711543888
131,west island,-12.1568,96.8225,27.99,78,40,4.12,CC,1711582612
132,kigonsera,-10.8,35.05,17.63,98,97,1.64,TZ,1711511021
133,singkil,-7.9855,111.4161,24.81,94,98,1.28,ID,1711579057
134,namibe,-15.1961,12.1522,26.18,80,76,4.0,AO,1711516566
135,ilulissat,69.2167,-51.1,-5.99,86,75,4.12,GL,1711529410
136,chonchi,-42.6128,-73.8092,17.56,48,29,1.18,CL,1711537578
137,ataq,14.5377,46.8319,23.2,66,25,3.63,YE,1711507897
138,kapuskasing,49.4169,-82.4331,2.0,70,90,6.33,CA,1711538180
139,calvinia,-31.4707,19.776,23.48,46,0,4.04,ZA,1711514934
140,fale old settlement,-9.3852,-171.2468,29.1,75,100,3.83,TK,1711646911
141,lianshan,40.7643,120.8533,10.52,29,100,5.46,CN,1711576001
142,rio gallegos,-51.6226,-69.2181,13.03,38,0,4.63,AR,1711536659
143,timmins,48.4669,-81.3331,3.13,74,97,5.91,CA,1711537949
144,city of balikpapan,-1.242,116.8942,24.97,100,100,2.06,ID,1711577658
145,geraldton,-28.7667,114.6,18.23,94,40,2.57,AU,1711578565
146,ceeldheer,3.8488,47.1806,28.26,79,16,9.07,SO,1711507945
147,nar'yan-mar,67.6713,53.087,-14.38,95,29,3.13,RU,1711504653
148,trincomalee,8.5711,81.2335,28.07,80,13,4.57,LK,1711499719
149,goundam,16.4145,-3.6708,33.97,14,100,4.3,ML,1711519986
150,caribou,46.8606,-68.012,5.92,87,100,5.66,US,1711534808
151,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,77,0,4.0,RU,1711566536
152,uturoa,-16.7333,-151.4333,28.79,67,70,8.39,PF,1711555849
153,westport,41.1415,-73.3579,14.09,64,40,3.09,US,1711536249
154,kurumkan,54.3,110.3,-12.15,70,10,4.02,RU,1711578064
155,kruisfontein,-34.0033,24.7314,19.94,88,100,2.98,ZA,1711513779
156,port elizabeth,-33.918,25.5701,21.17,90,75,1.03,ZA,1711513576
157,punta arenas,-53.15,-70.9167,11.06,58,100,6.69,CL,1711537105
158,fisterra,42.9049,-9.2629,8.75,69,99,19.31,ES,1711520839
159,san borja,-14.8167,-66.85,34.19,34,47,2.3,BO,1711535524
160,vrangel',42.7297,133.0839,2.55,81,53,3.97,RU,1711573016
161,veinticinco de mayo,-35.4323,-60.1727,26.43,56,99,3.1,AR,1711534187
162,ialibu,-6.2821,143.9935,12.81,97,100,1.37,PG,1711571218
163,vernon,50.2581,-119.2691,7.56,58,100,0.45,CA,1711546977
